"location","nuts0","nuts1","nuts2","nuts3"
"ITC11","IT","ITC","ITC1","ITC11"
"ITC12","IT","ITC","ITC1","ITC12"
"ITC13","IT","ITC","ITC1","ITC13"
"ITC14","IT","ITC","ITC1","ITC14"
"ITC15","IT","ITC","ITC1","ITC15"
"ITC16","IT","ITC","ITC1","ITC16"
"ITC17","IT","ITC","ITC1","ITC17"
"ITC18","IT","ITC","ITC1","ITC18"
"ITC20","IT","ITC","ITC2","ITC20"
"ITC31","IT","ITC","ITC3","ITC31"
"ITC32","IT","ITC","ITC3","ITC32"
"ITC33","IT","ITC","ITC3","ITC33"
"ITC34","IT","ITC","ITC3","ITC34"
"ITC41","IT","ITC","ITC4","ITC41"
"ITC42","IT","ITC","ITC4","ITC42"
"ITC43","IT","ITC","ITC4","ITC43"
"ITC44","IT","ITC","ITC4","ITC44"
"ITC46","IT","ITC","ITC4","ITC46"
"ITC47","IT","ITC","ITC4","ITC47"
"ITC48","IT","ITC","ITC4","ITC48"
"ITC49","IT","ITC","ITC4","ITC49"
"ITC4A","IT","ITC","ITC4","ITC4A"
"ITC4B","IT","ITC","ITC4","ITC4B"
"ITC4C","IT","ITC","ITC4","ITC4C"
"ITC4D","IT","ITC","ITC4","ITC4D"
"ITF11","IT","ITF","ITF1","ITF11"
"ITF12","IT","ITF","ITF1","ITF12"
"ITF13","IT","ITF","ITF1","ITF13"
"ITF14","IT","ITF","ITF1","ITF14"
"ITF21","IT","ITF","ITF2","ITF21"
"ITF22","IT","ITF","ITF2","ITF22"
"ITF31","IT","ITF","ITF3","ITF31"
"ITF32","IT","ITF","ITF3","ITF32"
"ITF33","IT","ITF","ITF3","ITF33"
"ITF34","IT","ITF","ITF3","ITF34"
"ITF35","IT","ITF","ITF3","ITF35"
"ITF43","IT","ITF","ITF4","ITF43"
"ITF44","IT","ITF","ITF4","ITF44"
"ITF45","IT","ITF","ITF4","ITF45"
"ITF46","IT","ITF","ITF4","ITF46"
"ITF47","IT","ITF","ITF4","ITF47"
"ITF48","IT","ITF","ITF4","ITF48"
"ITF51","IT","ITF","ITF5","ITF51"
"ITF52","IT","ITF","ITF5","ITF52"
"ITF61","IT","ITF","ITF6","ITF61"
"ITF62","IT","ITF","ITF6","ITF62"
"ITF63","IT","ITF","ITF6","ITF63"
"ITF64","IT","ITF","ITF6","ITF64"
"ITF65","IT","ITF","ITF6","ITF65"
"ITG11","IT","ITG","ITG1","ITG11"
"ITG12","IT","ITG","ITG1","ITG12"
"ITG13","IT","ITG","ITG1","ITG13"
"ITG14","IT","ITG","ITG1","ITG14"
"ITG15","IT","ITG","ITG1","ITG15"
"ITG16","IT","ITG","ITG1","ITG16"
"ITG17","IT","ITG","ITG1","ITG17"
"ITG18","IT","ITG","ITG1","ITG18"
"ITG19","IT","ITG","ITG1","ITG19"
"ITG2","IT","ITG","ITG2",NA
"ITH10","IT","ITH","ITH1","ITH10"
"ITH20","IT","ITH","ITH2","ITH20"
"ITH31","IT","ITH","ITH3","ITH31"
"ITH32","IT","ITH","ITH3","ITH32"
"ITH33","IT","ITH","ITH3","ITH33"
"ITH34","IT","ITH","ITH3","ITH34"
"ITH35","IT","ITH","ITH3","ITH35"
"ITH36","IT","ITH","ITH3","ITH36"
"ITH37","IT","ITH","ITH3","ITH37"
"ITH41","IT","ITH","ITH4","ITH41"
"ITH42","IT","ITH","ITH4","ITH42"
"ITH43","IT","ITH","ITH4","ITH43"
"ITH44","IT","ITH","ITH4","ITH44"
"ITH51","IT","ITH","ITH5","ITH51"
"ITH52","IT","ITH","ITH5","ITH52"
"ITH53","IT","ITH","ITH5","ITH53"
"ITH54","IT","ITH","ITH5","ITH54"
"ITH55","IT","ITH","ITH5","ITH55"
"ITH56","IT","ITH","ITH5","ITH56"
"ITH57","IT","ITH","ITH5","ITH57"
"ITH58","IT","ITH","ITH5","ITH58"
"ITH59","IT","ITH","ITH5","ITH59"
"ITI11","IT","ITI","ITI1","ITI11"
"ITI12","IT","ITI","ITI1","ITI12"
"ITI13","IT","ITI","ITI1","ITI13"
"ITI14","IT","ITI","ITI1","ITI14"
"ITI15","IT","ITI","ITI1","ITI15"
"ITI16","IT","ITI","ITI1","ITI16"
"ITI17","IT","ITI","ITI1","ITI17"
"ITI18","IT","ITI","ITI1","ITI18"
"ITI19","IT","ITI","ITI1","ITI19"
"ITI1A","IT","ITI","ITI1","ITI1A"
"ITI21","IT","ITI","ITI2","ITI21"
"ITI22","IT","ITI","ITI2","ITI22"
"ITI31","IT","ITI","ITI3","ITI31"
"ITI32","IT","ITI","ITI3","ITI32"
"ITI33","IT","ITI","ITI3","ITI33"
"ITI34","IT","ITI","ITI3","ITI34"
"ITI35","IT","ITI","ITI3","ITI35"
"ITI41","IT","ITI","ITI4","ITI41"
"ITI42","IT","ITI","ITI4","ITI42"
"ITI43","IT","ITI","ITI4","ITI43"
"ITI44","IT","ITI","ITI4","ITI44"
"ITI45","IT","ITI","ITI4","ITI45"
